Vlinder,lat,lon,stad,benaming,school,sponsor,Network
vlinder01,50.980438,3.815763,Melle,Proefhoeve,UGent,Universiteit Gent,Vlinder
vlinder02,51.022379,3.709695,Gent,Sterre,UGent,Universiteit Gent,Vlinder
vlinder03,51.324583,4.952109,Turnhout,Centrum,Heilig Graf,Stad Turnhout,Vlinder
vlinder04,51.335522,4.934732,Turnhout,Stadsboerderij,Heilig Graf,Stad Turnhout,Vlinder
vlinder05,51.052655,3.675183,Gent,Watersportbaan,Sint-Barbara,UGent Volkssterrenwacht Armand Pien,Vlinder
vlinder06,51.0271,4.5163,Bonheiden,Mechels Broek,BimSem,Stad Mechelen,Vlinder
vlinder07,51.030889,4.478445,Mechelen,Noord,PTS,Stad Mechelen,Vlinder
vlinder08,51.02813,4.477398,Mechelen,De Lindepoort,TSM,Stad Mechelen,Vlinder
vlinder09,50.927167,4.075722,Aalst,Heuvelpark,SMI,SOLVA,Vlinder
vlinder10,50.935556,4.041389,Aalst,Centrum,SMI,SOLVA,Vlinder
vlinder11,51.222422,4.381726,Antwerpen,Linkeroever,Sint-Annacollege,Stad Antwerpen,Vlinder
vlinder12,51.216477,4.42344,Antwerpen,Zoo,UGent,ZOO Antwerpen,Vlinder
vlinder13,51.212211,4.398065,Antwerpen,Inst. Trop. Geneeskunde,UGent,Stad Antwerpen,Vlinder
vlinder14,51.350618,4.315013,Antwerpen,Zandvliet,UGent,EnerSys,Vlinder
vlinder15,50.9353,4.1926,Asse,Koereit,Sint-Martinus,AllThingsTalk,Vlinder
vlinder16,51.26685,4.293436,Beveren,Haven,Sint-Maarten,Katoen Natie,Vlinder
vlinder17,51.065269,5.613458,Oudsbergen,Oudsberg,Sint-Augustinusinstituut Bree,Nationaal Park Hoge Kempen,Vlinder
vlinder18,51.136244,5.656769,Bree,Tongerlo,TISM Bree,Stad Bree,Vlinder
vlinder19,50.841455,4.363672,Brussel,Koninklijk Paleis,UGent,,Vlinder
vlinder20,50.847025,4.357971,Brussel,Kathedraal,UGent,Vivaqua,Vlinder
vlinder21,51.260389,2.991917,De Haan,Golf,Zeelyceum,Royal Ostend Golf Club,Vlinder
vlinder22,50.989501,2.85622,Diksmuide,De Blankaert,â€˜t Saam,Natuurpunt De Blankaart,Vlinder
vlinder23,51.260578,3.580151,Sint-Laureins,Boerekreek,Richtpunt Eeklo,De Boerekreek,Vlinder
vlinder24,51.167015,3.572062,Eeklo,Het Leen,OLV ten Doorn,Provinciaal domein Het Leen,Vlinder
vlinder25,51.15472,3.708611,Evergem,Kluizen,Einstein Atheneum,De Watergroep,Vlinder
vlinder26,51.16176,4.997653,Geel,Centrum,Sint Dimpna,Stad Geel,Vlinder
vlinder27,51.058099,3.728067,Gent,Ottogracht,Sec. Kunstinstituut,Stad gent,Vlinder
vlinder28,51.035293,3.769741,Gent,Gentbrugse Meersen,GO! Ath.,Stad Gent,Vlinder
